num,speaker,sentence
ep01-0084,성나정,내 니 물건중에 갖고싶은거 한개도 없다. 어데 고물파는 아저씨도 니보다는 좋은거 들고댕기겠다
ep01-0085,쓰레기,카믄 뭐 말든가
ep01-0086,성나정,맞다 오빠니 서태지 테이프 걸어라
ep01-0087,쓰레기,뭐?
ep01-0088,성나정,니 노래안듣는다 아이가
ep01-0089,쓰레기,이 가시나 미쳤나 진짜 달라할걸 달라해라. 그거 여자친구 선물받은거거든
ep01-0090,성나정,아.. 그 젖통 얼라대가리 만한 가시나
ep01-0091,쓰레기,까분다 대가리 깨뿐다이
ep01-0092,성나정,니 어차피 노래도 안듣는다 아이가 내 평생 니 귓구멍에 뭐 꼽는 꼴을 못봤다
ep01-0093,쓰레기,"듣는다 이 가시나야 서태지 2집, 거 하여가 아이가"
ep01-0094,성나정,3집이거든 빙신아
ep01-0095,쓰레기,안다 3집 
ep01-0096,성나정,2집이다 빙신아
ep01-0097,쓰레기,"가시나 진짜 미쳤나 오빠한테 빙신, 주디 고마 주 터자뿌까진짜. 오늘 고마마 확 마 제삿날하까"
ep01-0098,성나정,하지말라 캤제 내가
ep01-0099,쓰레기,놔라
ep01-0100,성나정,하지말라햇제 하지 말라고 못한다 먼저. 노라고 먼저 놔라고 놔라!
ep01-0101,쓰레기,니가 놔라!
ep01-0102,성나정,하지말라캤자나 내가
ep01-0103,쓰레기,"먼저 노라고, 노라고 했제"
ep01-0104,해태,다녀왔수다
ep01-0105,성동일,어어 해태 왔냐 아야 니도 국수 좀 씹어라
ep01-0106,해태,하하 괜차나요 저 오면서 마이 먹었어요
ep01-0107,이일화,아 맞다 해태 니 오늘 방좀 치아놔라 내일 니방에 동거 한명 들어올끼다
ep01-0108,해태,"아, 그래요? 알았으라 주무세요잉. 파트라슈."
ep01-0109,이일화,둘이 벌씨롱 인사했는갑네
ep01-0110,성나정,어 자도 컴퓨터 공학과다
ep01-0111,성동일,"엄뭐, 그냐 아따 우리 신촌하숙에 역사적인 1호 하숙생이 바로 우리 딸래미랑 같은 과구먼, 응? 흐흐 아따 뭔 심상치않은 인연인디"
ep01-0112,성나정,인연은 무슨 그라고 우리과 한명더있다
ep01-0113,쓰레기,아야야 아프다 이 가씨나야 피난다고! 피난다고! 피난다고! 아프다고
ep01-0114,효과음,(쿵)
ep01-0115,쓰레기,엄마. 엄마 깜짝아
ep01-0116,성동일,아야 여수 저저기 국수...
ep01-0117,이일화,"윤진아 니 일찍일찍 좀 댕기라 서울이 얼마나 무습은덴데, 알겠제?"
ep01-0118,성동일,아 자는 시방 몇신디 시방 일케 돌아다녀 싼데?
ep01-0119,이일화,또 연희동 갔다왔는갑지
ep01-0120,성동일,뭐 연희동은 우째? 그라믄 백담사서 내려온 전두환이 볼라고?
ep01-0121,이일화,"어데.. 연희동에 서태지산단다 오빠야 얼굴함 볼라고 그집앞에서 밤새 기다리다가 오는 갑드라 어제는 서태지 엄마가 줬다고, 요구르트 한명을 성화봉송하는거 맨키로 요래 들고 들어왔드라야"
ep01-0122,성동일,아따 참말로 정신나간년이 또 하나있구만 그래 지네 부모는 여수서 쌔빠지게 벌어가꼬 대학공부 시켜놨드만 연예인에 미쳐가꼬 그자 연예인 꽁무니만 졸졸졸 따라댕기고 세상이 어떻게 될랑가 모르것네..
ep01-0123,성나정,내는 그래도 가능성 있는 장사다
ep01-0124,성동일,니것같은 가시나가 뭔 가능성이 있어
ep01-0125,성나정,"헤헤.. 오빠야랑 결혼할 가능성. 아 솔직히 가수랑 탤런트는 우리같은 일반인이 만나가 연애하고 결혼하는게 쪼매 힘들수도 있그든. 근데 이상민 오빠는 함 숙소 가제, 얼굴도 비주고, 얘기도 해보고, 우짜믄 전화통화도 안하나~ 내가 또 노력하믄 결혼까지는 몰라도 적어도 연애정도는 한번 안하겠나"
ep01-0126,쓰레기,니 모르나
ep01-0127,성나정,뭐
ep01-0128,쓰레기,연대 농구부 금마들 이대 무용과 아들하고만 미팅한다. 고마쌔리마 몸매가 허리잘록해가마 궁디빵빵해가마 흣
ep01-0129,성나정,쳇 나도 안꿀린다~
ep01-0130,쓰레기,글치.. 니도 안꿀리지.. 근데 요건 우짤라꼬
ep01-0131,성나정,야!! 미칬나!! 씨 하지말라캤제 내몸 건들지 말라고 하지말라캤제 내가 건들지말라고 내 건들지마라
ep01-0132,쓰레기,아 진짜 
ep01-0133,성동일,아야야야야 장동건팀 우승해부럿다 음메음메 다슬이 울먹울먹 난리나부렀네
ep01-0134,성나정,오빠~~~오빠!!! 다슬이 와써요~~~ 연대! 연대! 오빠~~ 상민 오빠~~ 야 최희암! 골대밑에 우리오빠 넣지마라고 서장훈이 너라고 서장훈이! 다친단 말이다 팔 뿌라진다꼬!
ep01-0135,보조출연,좀 앉어 쫌..
ep01-0136,성나정,상민오빠! 골대밑에 드가지마라~ 와 자꾸 드가는데~~
ep01-0137,보조출연,언니 쫌 앉어 쫌! 연습이야 연습..
ep01-0138,성나정,아나 진짜 딴오빠들은 가끔씩 눈도 맞차주고 그라든데 우리 상민이오빠는 너무찹다 너무차버..
ep01-0139,보조출연,"에이,그래도 아까 상민오빠 연습시작할때 눈으로 슬쩍 출석체크하던데"
ep01-0140,성나정,맞나..
ep01-0141,보조출연,"그래언니, 아 그리고 내가 어제 지원오빠랑 통화했는데"
ep01-0142,성나정,우지원이랑 또 통화했다꼬?
ep01-0143,보조출연,응 우리 지원오빤쫌 젠틀한 편이잖아. 어제 전화했더니 경은이 오빠가 받더라고 그래서 내가 지원오빠 바꿔달랬더니 바로 바꿔주던데
ep01-0144,성나정,가시나 계탔다
ep01-0145,보조출연,아무튼 언니 지원이 오빠가 그러는데 상민오빠 막 연습할때 팬들와서 고함지르고 그러는거 진짜 싫어한데.. 딱 언니가 지금하는 짓들..
ep01-0146,성나정,"야, 너거야 뭐 우지원, 김훈 금마들이 전화도 잘 받아주고 맛난 것도 잘 사주고 하니까.."
ep01-0147,보조출연,"어, 어제도 우리 훈이오빠가 그린하우스 롤케이크 사줬어 히히"
ep01-0148,성나정,하여튼 니들은 아쉬븐거 없어서 그런소리한다이..우리 상민이 오빠야는.. 이래 티라도 안내믄 평생 내가 오빠 좋아하는 줄도 모를끼다..
ep01-0149,효과음,(삑-)
ep01-0150,보조출연,끝났다.
ep01-0151,효과음,(전화소리)
ep01-0152,이일화,"여보세요. 아 예, 안녕하셨슴니꺼 예 안그래도 기다리고 있었습니더 하이고마 그래 일찍 출발했습니꺼? 그라믄 얼추 도착할때 됫겠네예. 너무 걱정안해도 됩니더. 울집도 마산서 올라온지 인제 한달됬다 아입니까..내 누구보다도 그맘다 압니다. 예예~ 내 뭐 하숙은 처음치도, 내새끼 맨키로  잘 델꼬있을테이까 걱정하지마이소. 고마 아들내미 서울 친척집에 맽긴다고 생각하믄 됩니더..하이고 삼천포라 그란지 우리랑 말이 똑같네예"
ep01-0153,보조출연,하이고.. 그라고 서울은 안 춥습니꺼? 아 우리아가 추위를 어중시리 탑니더..서울은 빌딩숲이라서 더 춥다카든데 방좀 따시게 대파주면안되겠습니꺼? 아 야가..여리여리해가 추위를 많아 타가꼬 기름값따로 드릴테니까네 보일러 불 쪼매만 올리주이소.
ep01-0154,이일화,"어데예~ 내일 모레 삼월인데 보일러를 우째 틉니꺼 서울도 따숩으예 시골집 맨키로 우풍도 없으니까 걱정하지마이소. 아가 마이 약한갑네요. 예? 누구요? 장..국영이?? 아들내미가 장국영이를 닮았다꼬요? 아~~ 그 쪼콜레트 선전하는 홍콩사람 말입니꺼~음마야~ 그라믄 억스로 잘생깄겠네. 우리 사우삼으까요? 네, 잘 델꼬있을테이까 걱정하지마이소. 들가이소. 예~"
ep01-0155,효과음,(전화소리)
ep01-0156,이일화,여보세요 오야 잘도착했나 안그래도 너거엄마 방금 삼천포에서 전화왔드라 우리 장국영이 서울입성을 축하한다이
ep01-0157,삼천포,서울입성은 무시요.. 저 서울 두번짼데예
ep01-0158,이일화,니 근데 혼자 찾아올 수 있긋나 전철탈줄 아나
ep01-0159,삼천포,저 기차타고 왔심니더 기차도 탔는데 전철하나 못타겠습니꺼 설명만 좀 해주이소
ep01-0160,이일화,"그라믄 서울역서, 신촌가는 전철타믄 된다 신촌가는 전철타고 신촌에 내리가. 그.. 그레이스 백화점앞으로 나온나 그 백화점끼... 니, 백화점은 알제"
ep01-0161,삼천포,허..아지매 장난하십니꺼
ep01-0162,이일화,"오야~ 미안하다 그래 그레이스백화점끼고 올라와가 공원하나지나믄 사거리 비거든 거서 보면 형제갈비라꼬 큰 고기집이 있고 거지나서 쭉 올라오믄 독수리다방이라고있다 그 사이길로 쭉오면 신촌하숙이라꼬 간판빌기다 아,아이다아이다 니 고마 그레이스백화점앞에서 택시타라. 택시타도 기본요금뿌이 안나온다. 장국여이, 니 찾아오긋제?"
ep01-0163,삼천포,얼라도 아이고 그거하나 못찾아가믄 되겠심니까 걱정하지마이소. 어무이 그라믄 나중에 뵙겠습니더~
ep01-0164,효과음,(음메-)
ep01-0165,성나정,자들은 일로안오고 어데가는데?
ep01-0166,보조출연,아 농구부 일학년팬
ep01-0167,성나정,근데 와 일로안오고 절로가는데
ep01-0168,보조출연,이 베스타가 12인승이라서 농구부다 못타니까 1학년들은 숙소까지 걸어서가그든.. 그 오빠들따라가는거지뭐
ep01-0169,보조출연,"어, 나온다 나온다."
ep01-0170,효과음,(마지막승부ost)
ep01-0171,보조출연,오빠~~
ep01-0172,성나정,오빠 오빠.. 땀이요 땀..땀.. 땀.. 땀닦으세요..
ep01-0173,보조출연,좋겠다 언니~ 이제 상민오빠가 언니가 준 손수건으로 땀닦겠다
ep01-0174,보조출연,상민오빠가 좀 까칠하긴해도 팬들이 준 선물은 잘 챙기거든
ep01-0175,보조출연,언니 축하해
ep01-0176,성나정,머하노..늦겠다.. 빨리가자~
ep01-0177,보조출연,어 빨리 언니.
ep01-0178,성나정,이 길이 지름길 맞제
ep01-0179,보조출연,어 무조건 먼저 도착한다니깐
ep01-0180,보조출연,빨리가자 빨리
ep01-0181,이일화,그 우유 날짜 지난기다
ep01-0182,쓰레기,씁.. 잘모르겠는데
ep01-0183,이일화,"일주일이나 지난기다, 덩어리같은거 뭐 안떠있드나..아이고 나정이 가시나버리라 캤드마"
ep01-0184,쓰레기,가만보이까 뭐좀 씹히는거 같기도하고..
ep01-0185,이일화,니가 그라니까 금수라안카고 씨레기라안카나 뭣도 모리고 맛도 모리고..니! 그 옷도 빨 때 안됬나
ep01-0186,쓰레기,긍가..
ep01-0187,이일화,살면서 근지릅고 불편하고 냄새나고 그런거 모르겄나. 못느끼나..
ep01-0188,쓰레기,"아 와 모릅니꺼 어무이, 제가 어디 반삐입니꺼 흐흐"
ep01-0189,이일화,니 감자 깔고앉았다. 하이고 손아.. 안뜨겁드나
ep01-0190,쓰레기,아이 보일러 킨줄 알았지
ep01-0191,이일화,"으이구..아나 온나 이거 나정이 방에 갖다놔라 니만 보믄 억장이 무너진다 억장이 무너져. 자, 갖다놔"
ep01-0192,쓰레기,쉐키.. 마 못때이 생깄네 눈까리 쥐 파불라마.. 저놈이 뭐 좋타꼬.. 아이고.. 하하.. 뭐 결벽증 환자가? 군대가도 되겟네 가시나이거 짭짭짭
ep01-0193,효과음,(전화소리)
ep01-0194,이일화,"여보세요 아,예 아까 전화오셨습니더, 그때 서울역이라 캤으니까 얼추 다와갈낍니다. 아가 말하는게 똑똑해가 잘 찾아올낍니다 걱정하지마이소. 하고마 보일러안키도 안춥다이 까네."
ep01-0195,효과음,(전철오는소리)
ep01-0196,효과음,"지금, 의정부북부. 의정부북부행 열차가 들어오고 있습니다. 승객여러분들께서는 한걸음 뒤로 물러나 주시기 바랍니다."
ep01-0197,효과음,(전철오는소리)
ep01-0198,효과음,"지금, 청량리. 청량리행 열차가 들어오고 있습니다. 승객여러분들께서는 한걸음 뒤로 물러나 주시기 바랍니다."
ep01-0199,효과음,(전철오는소리)
ep01-0200,효과음,"지금, 의정부북부. 의정부북부행 열차가 들어오고 있습니다. 승객여러분들께서는 한걸음 뒤로 물러나 주시기 바랍니다."
ep01-0201,삼천포,"저, 저기... 신촌행 열차는 언제와요? 제가.. 신촌을 갈려고 하는데요. 지금까지 의정부 북부행 열차 세번.. 청량리행 열차 두번.. 의정부행 열차 또 세번.. 청량리행 열차 한번.. 신촌행 열차는 도대체 언제!...언제 와요?"
ep01-0202,보조출연,신촌행 열차는 따로 없구요. 신촌을 가실꺼면 여기서 아무거나 타셔서 시청역에서 환승하시면 돼요. 거기서 2호선으로 갈아타세요
ep01-0203,쓰레기,쉽게 니가날 떠날지는 몰랐어~ 아무런 준비도 없는 내에-게에-에엥~ 슬픈 사랑을 가르쳐 준다며 ~ 
ep01-0204,이일화,쫓기난다 쫓기나! 동네 부끄럽구로 와이라는데!
ep01-0205,성동일,아따 마 내집서 노래한다는데 누가 뭐라칸당가
ep01-0206,이일화,여가 마산이가 서울이가.
ep01-0207,성동일,마 서울사람은 노래 안하고 산디? 안그냐
ep01-0208,쓰레기,슬픈사랑을 가르쳐 준다며
ep01-0209,성동일,아따 우리아들 노래 겁나게 잘하내잉 넌 핑계를 대고 있어어억~~
ep01-0210,효과음,(초인종)
ep01-0211,쓰레기,아따 빡심니더 아부지..
ep01-0212,이일화,죄송합니더 앞으로 조심하겠습니데이.. 내 머리캤노 찾아온다 안카드나!
ep01-0213,성동일,아따 노래 딱 한곡 불렀는데 그뭐 시끄럽다고 개새끼마냥 꽐꽐와가꼬 그 난리를 지긴데 니미.
ep01-0214,이일화,서울이랑 마산이랑 같나 여서 살라카믄 우리도 몬때져야된다 에이.. 귤이나 묵자 히! 엄마야 이게 머꼬
ep01-0215,쓰레기,와요 어무이 썩었습니꺼?
ep01-0216,이일화,이거봐라이거! 윗줄만 통통한거 봐라 장난질해논거 봐라요 엄마야 귤도 촌놈무시하나 울고마 다시 마산 내리갈래?
ep01-0217,보조출연,왔다왔다
ep01-0218,보조출연,오빠!
ep01-0219,보조출연,꺄악~~
ep01-0220,보조출연,잘생겼어요 오빠
ep01-0221,보조출연,오빠!
ep01-0222,성나정,오빠 ! ! 아..아까 제가 드린 손수건 다시 주심안됩니까..생각해봉께 그 손수건..우리 돌아가신 할배가 마지막 선물로 준기라서..죄송합니다.. 죄송합니다..감사합니다.. 감사합니다..사랑합니다...
ep01-0223,보조출연,하씨.. 언니 대가리가 그냥..
ep01-0224,성나정,하.. 우리오빠 땀냄새..으허..으허..
ep01-0225,효과음,(전화소리)
ep01-0226,이일화,곧안들어오겠슴니꺼 쫌만더 기다리 보이소. 다큰안데 뭐 별일 있겠으예. 예 들어오면 내 바로 전화하라 칼께예. 아 그리고 보내주신건 잘 받아가 방에 딱 넣어놨슴니더. 아예~ 걱정고마하이소. 나이 스물입니더. 별일없을낍니더~ 예 들어가이소. 임마이거 반피 아이가.. 아직도 안오고 뭐하노..
ep01-0227,효과음,"이번역은 시청, 시청역입니다. 내리실문은 왼쪽입니다. 신촌이나 성수 방향으로 가시는 승객께서는 이번역에서 2호선으로 갈아타시기 바랍니다"
ep01-0228,효과음,"this stop is city hall, cityhall. the door is on your left you can transfer to the green line number2."
ep01-0229,삼천포,하아.. 하아.. 흐아 흐아 신촌.. 신촌표 한장이요. 신촌표 주이소. 일구간 신촌요.. 후..신촌 일구간 한명.
ep01-0230,보조출연,시골에서 오셨나봐요
ep01-0231,효과음,(음메-)
ep01-0232,보조출연,나왔다 나왔어
ep01-0233,보조출연,경은오빠~ 지원오빠는 안나와요?
ep01-0234,보조출연,왜 불러주까?
ep01-0235,보조출연,네
ep01-0236,보조출연,알았어
ep01-0237,보조출연,지원아~ 우지원~ 애들왔다
ep01-0238,보조출연,오빠 고마워요~
ep01-0239,보조출연,응~
ep01-0240,성나정,아 뭐꼬.. 근데 저오빠 와저래 살이쪘노.. 으잉
ep01-0241,보조출연,오빠 어디가세요?
ep01-0242,보조출연,"어, 하윤이왔어?"
ep01-0243,보조출연,네..
ep01-0244,보조출연,친구만나러
ep01-0245,보조출연,"아..아 오빠오늘 근데, 최희암 감독님 완전 무서웠어요"
ep01-0246,보조출연,아휴 플레이오프때문에 그렇지뭐
ep01-0247,보조출연,아.. 오빠 힘들겠다
ep01-0248,보조출연,괜찮아
ep01-0249,보조출연,아 맞다 니들 연습보러올때 응원 좀 작게해. 아까 장훈이 진짜 열받았어. 누가 자기 욕한다고
ep01-0250,성나정,근데 오빠 저기 상민이 오빤 안나와요?
ep01-0251,보조출연,"상민이형 오늘뭐 부모님들하고 저녁먹는다 그랬었는데. 어, 저기 가네."
ep01-0252,성나정,오빠!!! 오빠!!!! 오빠~~!! 오빠!!! 오빠!!!! 오빠~~!! 아.. 나 오늘 진짜 사진 꼭 찍어야 되는데.. 아..
ep01-0253,보조출연,"저기요, 저기요?"
ep01-0254,이일화,예~ 그라므요 올때가됬는데.. 윽시로 와야되거든요. 예예..올라믄 벌써 왔어야지예
ep01-0255,효과음,(유한반대 비준거부!)
ep01-0256,효과음,(유한반대 비준거부!)
ep01-0257,삼천포,"저, 이기 그레이스백화점입니까?"
ep01-0258,보조출연,"아, 이건 그랜드 백화점인데요"
ep01-0259,보조출연,그레이스백화점은 저거..
ep01-0260,삼천포,저리로 갈라카믄 어떻게 가야됩니까?
ep01-0261,보조출연,이리로 가세요
ep01-0262,효과음,(유한반대 비준거부!)
ep01-0263,효과음,응답하라1994 ost; 로이킴-서울이곳은
ep01-0264,효과음,아무래도 난 돌아가야겠어.
ep01-0265,효과음,이곳은 나에게 어울리지 않아
ep01-0266,효과음,화려한 유혹 속에서 웃고 있지만
ep01-0267,효과음,모든 것이 낯설기만 해
ep01-0268,효과음,외로움에 길들여진 후로
ep01-0269,효과음,차라리 혼자가 마음편한 것을
ep01-0270,효과음,어쩌면 너는 아직도 이해 못하지
ep01-0271,효과음,내가 너를 모르는 것처럼
ep01-0272,효과음,(유한반대 비준거부!)
ep01-0273,효과음,(유한반대 비준거부!)
ep01-0274,삼천포,고마집에가까...
ep01-0275,효과음,약한모습 보여서 미안해
ep01-0276,효과음,"하숙집아줌마들릴라고 깨하고 고추가루하고 또 참기름하고 조금씩조금씩 담아봤어,"
ep01-0277,효과음,체.. 별거다 신경쓴다
ep01-0278,성동일,"아 임자, 아직 저녁 멀었대?"
ep01-0279,이일화,다됬다.
ep01-0280,성동일,아이그 참말로 빨리빨리 하믄 좋은데 오메오메 아 그나저나 삼천폰가 사천포는 얘는 어데 아직 안온대? 고마 기집애 처럼 곱상하이 여려보인다 하드만 뭔일 나분거 아녀?
ep01-0281,쓰레기,아유 아부지 나이 스물입니다 스물 그 나이 먹고 집도 못 찾으믄 나가 디져야지 카고 모르믄 택시타믄 된다 아입니까 주소적어 줬다면서요
ep01-0282,삼천포,여기로가주세요
ep01-0283,보조출연,신촌하숙이라.. 골목까지는 못들어가고 독수리다방까지만 가면되죠?
ep01-0284,삼천포,예 거기까지만 부탁드리겠습니다
ep01-0285,보조출연,예~ 출발하겠습니다
ep01-0286,효과음,"서울의달ost / 장철웅-서울, 이곳은"
ep01-0287,효과음,우~ 우우우우우우
ep01-0288,효과음,아~ 아~
ep01-0289,효과음,아무래도 난 돌아가야겠어.
ep01-0290,효과음,이곳은 나에게 어울리지 않아
ep01-0291,효과음,화려한 유혹 속에서 웃고 있지만
ep01-0292,효과음,모든 것이 낯설기만 해
ep01-0293,보조출연,"서울참, 넓죠?"
ep01-0294,효과음,외로움에 길들여진 후로
ep01-0295,효과음,차라리 혼자가 마음편한 것을
ep01-0296,효과음,어쩌면 너는 아직도 이해 못하지
ep01-0297,효과음,너 서류하고 돈 가져오란거있지?
ep01-0298,효과음,어어.. 가져왔지..
ep01-0299,효과음,일로줘봐 김이사 갖다 주고오께
ep01-0300,효과음,(초인종소리)
ep01-0301,이일화,"아이고 아이고, 왔는갑다왔는갑서"
ep01-0302,성동일,"오 긍가, 왔어? 아 이사람아 시방 뭐하는 짓걸이여"
